System,3wrobotNI
Controller,LQR
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 20, 3, 2]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1849.6045119999999,184.9604512,-0.22000000000000003,-0.284
0.0011,-3.0000001847690716,-3.0001999478407635,1.5697418854166667,1849.7083873004476,369.9312899300447,-0.22000000000000003,-0.284
0.009625025278351216,-3.00000443277506,-3.0020754481330694,1.567320778237615,1850.684759733245,554.9997659033693,-0.22000000000000003,-0.284
0.059625025278351215,-3.0001207606633944,-3.0130747405936202,1.553120778237615,1856.48459213255,740.6482251166243,-0.22000000000000003,-0.284
0.10962502527835122,-3.0003932615277176,-3.0240712723236376,1.538920778237615,1892.7534216252332,929.9235672791476,2.2,2.84
0.1596250252783512,-3.003286188022228,-2.9237185764772184,1.6666837990709484,1842.9937218820173,1114.2229394673493,2.2,2.84
0.2096250252783512,-3.0215433661205133,-2.8153379643950776,1.8086837990709483,1801.6631584115446,1294.3892553085038,2.2,2.84
0.2596250252783512,-3.0549551626563516,-2.7106320262651904,1.9506837990709482,1774.7822484446804,1471.867480152972,2.2,2.84
0.3096250252783512,-3.1028489934703223,-2.6117085073357935,2.092683799070948,1763.1070300148754,1648.1781831544595,2.2,2.84
0.35962502527835116,-3.1642607490179144,-2.5205587519440495,2.234683799070948,1767.103684614319,1824.8885516158914,2.2,2.84
0.40962502527835115,-3.2379542020301386,-2.439017617474709,2.376683799070948,1786.5778289584916,2003.5463345117405,2.2,2.8080131822608543
0.45962502527835114,-3.3224016207061235,-2.3686698904519226,2.5172302314419164,1821.9137947456238,2185.737713986303,2.2,2.8080131822608543
0.5096250252783512,-3.4158623966200765,-2.310832015260382,2.6576308905549593,1867.053527621484,2372.443066748451,2.2,2.2877321820204592
0.5596250252783512,-3.5160887701194046,-2.2655472909527954,2.774388571922703,1928.4905527239437,2565.2921220208455,2.2,2.2877321820204592
0.6096250252783513,-3.620787999544447,-2.2320080038636414,2.888775181023726,1997.9452036144269,2765.086642382288,2.2,1.9141859874121225
0.6596250252783513,-3.7285038004451314,-2.2098082862760493,2.986186839354136,2078.6937779822547,2972.9560201805134,2.2,1.9141859874121225
0.7096250252783514,-3.837826477347535,-2.1980049592377666,3.0818961387247423,2166.055019173796,3189.561522097893,2.2,1.6672666058111352
0.7596250252783514,-3.9477883904442206,-2.196147985757925,-3.1168005545241786,2255.1783849108265,3415.0793605889758,2.2,1.6672666058111352
0.8096250252783515,-4.057513669534589,-2.203452600374463,-3.0334372242336216,2346.548081923026,3649.734168781278,2.2,2.84
0.8596250252783515,-4.165977508573677,-2.2224908871777154,-2.8967817123581803,2427.9615203340286,3892.530320814681,2.2,2.84
0.9096250252783515,-4.270449613516263,-2.2566268054497844,-2.7547817123581804,2515.338089720431,4144.064129786724,2.2,2.84
0.9596250252783516,-4.369039172732559,-2.3052043768274126,-2.6127817123581805,2607.430816710253,4404.80721145775,2.2,2.84
1.0096250252783516,-4.459761564541355,-2.367245727972461,-2.4707817123581806,2702.0790003188945,4675.015111489639,2.2,2.84
1.0596250252783517,-4.540790534446883,-2.44150195776809,-2.3287817123581807,2797.08673402706,4954.723784892345,2.2,2.84
1.1096250252783517,-4.610494957898439,-2.526478277873742,-2.1867817123581808,2890.267109687563,5243.750495861102,2.2,2.84
1.1596250252783518,-4.6674716750568095,-2.62046410302449,-2.044781712358181,2979.4862402936456,5541.699119890466,2.2,2.84
1.2096250252783518,-4.7105737365990095,-2.7215674853528,-1.9027817123581807,3062.7062154242863,5847.969741432895,2.2,2.84
1.2596250252783519,-4.738933491969327,-2.827753199564966,-1.7607817123581806,3138.02612466735,6161.77235389963,2.2,2.84
1.309625025278352,-4.751980055306935,-2.9368837123122713,-1.6187817123581805,3203.720323213306,6482.14438622096,2.2,2.84
1.359625025278352,-4.749450797458493,-3.046762211037673,-1.4767817123581803,3258.2731693277397,6807.971703153734,2.2,2.84
1.409625025278352,-4.731396632739913,-3.1551768261212785,-1.3347817123581802,3300.4095344324496,7138.012656596979,2.2,2.84
