System,3wrobotNI
Controller,MPC
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[50.0, 1.0, 2.0, 2.0, 3.0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,464.26856799999996,46.426856799999996,-0.22000000000000003,-0.284
0.0011,-3.0000001847690716,-3.0001999478407635,1.5697418854166667,464.2682023314098,92.85367703314097,-0.22000000000000003,-0.284
0.009625025278351216,-3.00000443277506,-3.0020754481330694,1.567320778237615,464.26554367357454,139.28023140049842,-0.22000000000000003,-0.284
0.059625025278351215,-3.0001207606633944,-3.0130747405936202,1.553120778237615,464.2779846241653,185.70802986291494,-0.22000000000000003,-0.284
0.10962502527835122,-3.0003932615277176,-3.0240712723236376,1.538920778237615,494.25407029649824,235.13343689256476,2.199999999981619,-2.618811608480533
0.1596250252783512,-2.9912423765114178,-2.9247381475551313,1.4186206153001533,490.2101326059325,284.154450153158,2.199999999981619,-2.618811608480533
0.2096250252783512,-2.9675068479407587,-2.8174099301729827,1.2876800348761266,481.8134058098148,332.3357907341395,2.199999999981619,-2.618811608480533
0.2596250252783512,-2.9299610125415256,-2.7140995637660628,1.1567394544521,461.24856788193773,378.46064752233326,2.199999999985425,-2.0242333823277825
0.3096250252783512,-2.880394337263832,-2.6158912662609555,1.0528181189404835,445.8658783653789,423.04723535887115,2.199999999985425,-2.0242333823277825
0.35962502527835116,-2.821191278837569,-2.5232377599475684,0.9516064498240944,428.106412411639,465.85787660003507,2.199999999985425,-2.0242333823277825
0.40962502527835115,-2.7529295800336606,-2.4370402261337003,0.8503947807077052,420.1933712611189,507.877213726147,2.2,2.84
0.45962502527835114,-2.6816059750148935,-2.348836763192093,0.970227050449701,400.82704546075024,547.959918272222,2.2,2.84
0.5096250252783512,-2.6260848665201078,-2.2539837814839663,1.1122270504497012,366.380206283802,584.5979389006022,2.2,-1.2013296889708764
0.5596250252783512,-2.575678357041377,-2.153476574279398,1.0705780841149568,352.64526523572147,619.8624654241744,2.2,-1.2013296889708764
0.6096250252783513,-2.5200541861494483,-2.0585960494019764,1.010511599666413,339.774368493467,653.8399022735211,2.2,-1.446908008624479
0.6596250252783513,-2.458375507641208,-1.9675326668866615,0.9392853712648602,323.77683399738373,686.2175856732595,2.2,-1.446908008624479
0.7096250252783514,-2.3902818001950097,-1.8811731251184116,0.8669399708336363,304.15909025071227,716.6334946983307,2.2,-1.1202312083987533
0.7596250252783514,-2.316649929532834,-1.7994490216162635,0.8094396489543365,286.33650055303025,745.2671447536337,2.2,-1.1202312083987533
0.8096250252783515,-2.2385706533498673,-1.7219863627248897,0.7534280885343988,266.1582392561361,771.8829686792474,2.199999999974925,-0.7784099073963723
0.8596250252783515,-2.156769735872644,-1.6484263378014665,0.7129498137980328,247.8144548955324,796.6644141688006,2.199999999974925,-0.7784099073963723
0.9096250252783515,-2.0721828655995753,-1.5781160680969644,0.6740293184282141,228.40672652102705,819.5050868209033,2.1999999999965807,-0.4584589142792624
0.9596250252783516,-1.9853476756204298,-1.5105688777057689,0.6496482627195767,210.51672744759082,840.5567595656624,2.1999999999965807,-0.4584589142792624
1.0096250252783516,-1.897000109197833,-1.4450389023039576,0.6267253170056135,192.63240106926781,859.8199996725892,2.2,-0.22227886337879568
1.0596250252783517,-1.807472660336519,-1.381112215602085,0.6145350324588721,175.83887213683732,877.403886886273,2.2,-0.22227886337879568
1.1096250252783517,-1.717247491900817,-1.3181892910658066,0.6034210892899323,159.64491162221313,893.3683780484943,2.2,-0.13179171844309004
1.1596250252783518,-1.62644191621976,-1.2561039955487987,0.5964191270562219,144.28700131085148,907.7970781795794,2.2,-0.13179171844309004
1.2096250252783518,-1.5352302606989228,-1.1946191184430135,0.5898295411340674,129.67755270669866,920.7648334502493,2.199999999998604,-0.09668234083570118
1.2596250252783519,-1.4436589129505162,-1.1336707233676913,0.5848354204182903,115.88486951912213,932.3533204021614,2.199999999998604,-0.09668234083570118
1.309625025278352,-1.3517941650505063,-1.073165810097412,0.5800013033765052,102.90513750820065,942.6438341529815,2.199999999999324,-0.10531918973278254
1.359625025278352,-1.25962740793584,-1.0131219636031434,0.5747747045293711,90.73348477139885,951.7171826301214,2.199999999999324,-0.10531918973278254
1.409625025278352,-1.1671457515919972,-0.9535643001289741,0.569508745042732,79.41287662295949,959.6584702924174,2.2,-0.14543160380551048
1.459625025278352,-1.0743032294476706,-0.8945705033428548,0.56241996882284,68.88271132235352,966.5467414246527,2.2,-0.14543160380551048
1.509625025278352,-0.9810344006013033,-0.8362535053987713,0.5551483886325644,58.73614429194936,972.4203558538477,2.1382246024335556,-0.22731127028282094
1.5596250252783521,-0.8896413209088273,-0.7802384508022016,0.5441559746401299,50.073087624700506,977.4276646163178,2.1382246024335556,-0.22731127028282094
